,file_path,paragraph,sentence,entities,labels,position_start,position_end,has_terms,weight
40523,C:\Users\shweata\ethics_statement_corpus_1000\PMC8074354\sections\1_body\1_2__materials_and_methods_\2_2_2__ethical_approval_and\1_p.xml,"Ethical approval was granted by the Human Research and Ethics Committee (HREC), Universiti Sains Malaysia (USM/JEPEM/19100596), and the Medical Review and Ethical Committee of the National Institute of Health, Ministry of Health Malaysia NMRR-19-3225-51278 (IIR). The local state health director permitted the use of the data from the annual cardiovascular health screening program in this study.","Ethical approval was granted by the Human Research and Ethics Committee (HREC), Universiti Sains Malaysia (USM/JEPEM/19100596), and the Medical Review and Ethical Committee of the National Institute of Health, Ministry of Health Malaysia NMRR-19-3225-51278 (IIR).","the Human Research and Ethics Committee, HREC, Malaysia, the Medical Review and Ethical Committee, the National Institute of Health,, Ministry of Health, Malaysia, IIR","ORG, ORG, GPE, ORG, ORG, ORG, GPE, ORG","32, 73, 97, 132, 176, 210, 229, 258","71, 77, 105, 172, 209, 228, 237, 261",ethical committee of ,1
40760,C:\Users\shweata\ethics_statement_corpus_1000\PMC8075227\sections\1_body\1_materials_and_methods\4_data_analysis\1_p.xml,"All statistical analyses were performed with the statistical software, SAS (release 9.4, SAS Institute, Inc., Cary, NC, USA). All patients’ data were anonymized before the researchers accessed the data and the Ethics Committee of the coordinating center (Fondazione IRCCS Ca’ Granda Ospedale Maggiore Policlinico) approved the protocol for this study. Continuous variables are reported as median values (interquartile range, IQR), while categorical data are reported as counts (percentages). Characteristics of the patients who presented to an ED during the two time-periods were compared by applying Fisher’s exact test to the categorical variables, and the Wilcoxon two-sample test to the continuous variables. Sensitivity analyses were performed considering different age subgroups. Two-sided p-values less than 0.05 were considered statistically significant.",All patients’ data were anonymized before the researchers accessed the data and the Ethics Committee of the coordinating center (Fondazione IRCCS Ca’ Granda Ospedale Maggiore Policlinico) approved the protocol for this study.,"the Ethics Committee, Fondazione IRCCS Ca","ORG, ORG","80, 129","100, 148",ethics committee of ,1
40999,C:\Users\shweata\ethics_statement_corpus_1000\PMC8076538\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the ethics committee of Teikyo University School of Medicine (TR 20-078). The patients/participants provided their written informed consent to participate in this study.,The studies involving human participants were reviewed and approved by the ethics committee of Teikyo University School of Medicine (TR 20-078).,Teikyo University School of Medicine (TR,ORG,95,135,ethics committee of ,1
41012,C:\Users\shweata\ethics_statement_corpus_1000\PMC8076744\sections\1_body\1_materials_and_methods\1_ethics_statement\1_p.xml,"The animal experiment was carried out in accordance with relevant guidelines and regulations, and was approved by the Medical Ethics Committee of the First Affiliated Hospital of Shenzhen University, Shenzhen Second People’s Hospital.","The animal experiment was carried out in accordance with relevant guidelines and regulations, and was approved by the Medical Ethics Committee of the First Affiliated Hospital of Shenzhen University, Shenzhen Second People’s Hospital.","the Medical Ethics Committee, the First Affiliated Hospital of Shenzhen University","ORG, ORG","114, 146","142, 198",ethics committee of ,1
41068,C:\Users\shweata\ethics_statement_corpus_1000\PMC8076744\sections\1_body\6_ethics_statement\1_p.xml,"The animal study was reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Shenzhen University, Shenzhen Second People’s Hospital.","The animal study was reviewed and approved by Medical Ethics Committee of The First Affiliated Hospital of Shenzhen University, Shenzhen Second People’s Hospital.",Medical Ethics Committee,ORG,46,70,ethics committee of ,1
41105,C:\Users\shweata\ethics_statement_corpus_1000\PMC8077169\sections\1_body\1_materials_and_methods\3_ethics_statement\1_p.xml,"BALB/c mice were obtained from the Oswaldo Cruz Foundation (FIOCRUZ) animal facilities (Rio de Janeiro, Brazil). The mice were housed in a maximum of four per cage and kept in a conventional room (23 ± 2°C, relative humidity: 60%, with 12 h light-dark cycles). The animals were provided with sterilized water and chow  ad libitum. Studies in  L. amazonensis and  L. infantum-infected BALB/c mice were performed following the guidelines of the Guide for the Care and Use of Laboratory Animals of the Brazilian National Council of Animal Experimentation (COBEA). This study was approved by the Animal Ethics Committee of Oswaldo Cruz Institute (L26/2015).",This study was approved by the Animal Ethics Committee of Oswaldo Cruz Institute (L26/2015).,"the Animal Ethics Committee, Oswaldo Cruz Institute","ORG, ORG","27, 58","54, 80",ethics committee of ,1
41155,C:\Users\shweata\ethics_statement_corpus_1000\PMC8077347\sections\1_body\6_ethical_approval\1_p.xml,"The ethics committee of the Hanover Medical School was involved in the study and came to the conclusion that an ethics vote is not necessary in this case. As a result, an approval number was not assigned.",The ethics committee of the Hanover Medical School was involved in the study and came to the conclusion that an ethics vote is not necessary in this case.,the Hanover Medical School,ORG,24,50,ethics committee of ,1
41245,C:\Users\shweata\ethics_statement_corpus_1000\PMC8078165\sections\1_body\3_4__materials_and_methods\9_4_9__ethics_statement\1_p.xml,"The HLF study was approved by the Ethics Committee of the Meir Medical Center (MMC-016-16, issued on 30 July 2016). Informed consent was obtained from all patients. All animal experiments were performed in accordance with the UK Animals (Scientific Procedures) Act, 1986, under the authority and controls of a project license held at the Charles River Edinburgh facility. ","The HLF study was approved by the Ethics Committee of the Meir Medical Center (MMC-016-16, issued on 30 July 2016).","HLF, the Ethics Committee of, the Meir Medical Center","ORG, ORG, ORG","4, 30, 54","7, 53, 77",ethics committee of ,1
41256,C:\Users\shweata\ethics_statement_corpus_1000\PMC8079031\sections\1_body\1_materials_and_methods\1_clinical_sample_collectio\1_p.xml,"The present study was performed at the Department of Nephrology of the Shanghai East Hospital Affiliated to Tongji University School of Medicine and Department of Nephrology of Shanghai General Hospital Affiliated to Shanghai Jiao Tong University School of Medicine. Patients who were diagnosed with IgAN by renal biopsy and patients who had renal carcinoma and underwent nephrectomy from January 2016 to September 2019 were enrolled. The demographic data, physical measurements, and laboratory measurements were collected from the electronic medical record system. This study was approved by the Human Research Ethics Committee of the Shanghai East Hospital Affiliated to Tongji University School of Medicine (Ethical Approval number: 2020-021) and the Human Research Ethics Committee of Shanghai General Hospital Affiliated to Shanghai Jiao Tong University School of Medicine (Ethical Approval number: 2021KY014). Written informed consent was obtained from all participants. And we have obtained the registration number from Chinese Clinical Trial Register (ChiCTR): ChiCTR 2000030422.",This study was approved by the Human Research Ethics Committee of the Shanghai East Hospital Affiliated to Tongji University School of Medicine (Ethical Approval number: 2020-021) and the Human Research Ethics Committee of Shanghai General Hospital Affiliated to Shanghai Jiao Tong University School of Medicine (Ethical Approval number: 2021KY014).,"the Human Research Ethics Committee, the Shanghai East Hospital Affiliated, Tongji University School of Medicine (Ethical Approval, the Human Research Ethics Committee, Shanghai General Hospital Affiliated, Shanghai, Jiao Tong University School of Medicine (Ethical Approval","ORG, ORG, ORG, ORG, ORG, GPE, ORG","27, 66, 107, 184, 223, 263, 272","62, 103, 161, 219, 259, 271, 329",ethics committee of ,1
41317,C:\Users\shweata\ethics_statement_corpus_1000\PMC8079031\sections\1_body\4_ethics_statement\1_p.xml,This study was approved by the Human Research Ethics Committee of the Shanghai East Hospital Affiliated to Tongji University School of Medicine and the Human Research Ethics Committee of Shanghai General Hospital Affiliated to Shanghai Jiao Tong University School of Medicine. Written informed consent was obtained from all participants. This research study was conducted in accordance with the guidelines of the Declaration of Helsinki.,This study was approved by the Human Research Ethics Committee of the Shanghai East Hospital Affiliated to Tongji University School of Medicine and the Human Research Ethics Committee of Shanghai General Hospital Affiliated to Shanghai Jiao Tong University School of Medicine.,"the Human Research Ethics Committee, the Shanghai East Hospital Affiliated, Tongji University School of Medicine, the Human Research Ethics Committee, Shanghai General Hospital Affiliated, Shanghai, Jiao Tong University School of Medicine","ORG, ORG, ORG, ORG, ORG, GPE, ORG","27, 66, 107, 148, 187, 227, 236","62, 103, 143, 183, 223, 235, 275",ethics committee of ,1
41415,C:\Users\shweata\ethics_statement_corpus_1000\PMC8079727\sections\1_body\1_methods_and_materials\7_standard_protocol_approva\1_p.xml,"The study was performed in accordance with the Helsinki II Declaration. The study protocol, including the patient information and consent form, was approved by the local ethics committee of each participating institution (Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477, and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int. Nr.2247, which required modifications of the protocol; date of final approval: May 17th, 2018). All participants gave written informed consent.","The study protocol, including the patient information and consent form, was approved by the local ethics committee of each participating institution (Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477, and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int.","the Medical Faculty of the Ludwig Maximilians University, Munich, Germany, Ethics, AZ ST JAN, Brugge Oostende, Belgium, AV Ethics","ORG, GPE, GPE, ORG, ORG, ORG, GPE, ORG","196, 254, 262, 321, 341, 352, 369, 378","252, 260, 269, 327, 350, 367, 376, 387",ethics committee of ,1
41443,C:\Users\shweata\ethics_statement_corpus_1000\PMC8079727\sections\1_body\8_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477 and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int. Nr.2247, which required modifications of the protocol; date of final approval: May 17th, 2018. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.","The studies involving human participants were reviewed and approved by Leading ethics committee: Ethics committee of the Medical Faculty of the Ludwig Maximilians University, Munich, Germany; reference number: 17-477 and subsequently by the Ethics committee of AZ ST JAN, Brugge Oostende, Belgium, AV Ethics committee OG 065, BUN: 8049201835209 Int.","the Medical Faculty of the Ludwig Maximilians University, Munich, Germany, Ethics, AZ ST JAN, Brugge Oostende, Belgium, AV Ethics","ORG, GPE, GPE, ORG, ORG, ORG, GPE, ORG","117, 175, 183, 241, 261, 272, 289, 298","173, 181, 190, 247, 270, 287, 296, 307",ethics committee of ,1
41832,C:\Users\shweata\ethics_statement_corpus_1000\PMC8084231\sections\1_body\1_methods\7_ethics_statement\1_p.xml,"The ethics Committee of Faculty of Medicine of Assiut University, Assiut, Egypt approved the study protocol (ID# AUFM_243/2017). Parents/guardians gave their written inform consents to participate in the study.","The ethics Committee of Faculty of Medicine of Assiut University, Assiut, Egypt approved the study protocol (ID# AUFM_243/2017).","Committee of Faculty of Medicine of Assiut University, Assiut, Egypt","ORG, ORG, GPE","11, 66, 74","64, 72, 79",ethics committee of ,1
42024,C:\Users\shweata\ethics_statement_corpus_1000\PMC8085352\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of Chongqing People’s Hospital. Written informed consent to participate in this study was provided by the participants. Written informed consent was obtained from the individuals for the publication of any potentially identifiable images or data included in this article.,The studies involving human participants were reviewed and approved by Ethics Committee of Chongqing People’s Hospital.,Ethics Committee of Chongqing People’s Hospital,ORG,71,118,ethics committee of ,1
42149,C:\Users\shweata\ethics_statement_corpus_1000\PMC8085718\sections\1_body\2_materials_and_methods\1_p.xml,"A total of 81 children and adolescents, 41 females, who were determined to be overweight (OW), OB or with a strong positive family history of T2DM (defined as more than 3 individuals within three generations), were enrolled in the study from the Outpatient Clinic of Paediatric Endocrinology and Diabetes of the University Hospital of Patras in Greece, during a period of 5 years. Fifty-five out of the 81 patients (67.9%) were OB, 17 (21%) were OW and 9 (11.1%) had a normal weight (NW) but a positive family history of T2DM. The participants were randomly selected. The research was approved by the Research Ethics Committee of the University Hospital of Patras (IRB number: 348/9.5.2017) and informed consent was obtained from the parents of the children involved in the study. OW was defined as a body mass index (BMI) of 85%-95% and OB as a BMI of > 95%. The mean age of the studied subjects was 12.27 + 2.96 years (min: 4.91 years, max: 21.25 years).",The research was approved by the Research Ethics Committee of the University Hospital of Patras (IRB number: 348/9.5.2017) and informed consent was obtained from the parents of the children involved in the study.,"the Research Ethics Committee, the University Hospital of Patras, IRB","ORG, ORG, ORG","29, 62, 97","58, 95, 100",ethics committee of ,1
42250,C:\Users\shweata\ethics_statement_corpus_1000\PMC8087088\sections\1_body\1_materials_and_methods\1_ethical_approval_and_cons\1_p.xml,"The study was approved by the Ethics Committee of the Regional Health Agency Network (LINUT) prior to data collection. The data were collected within the framework of the agreements signed between the Limousin Nutrition network (LINUT), health network of the Nouvelle Aquitaine Regional Health Agency and the Elderly Nursing Homes, which stipulate that patient data can be used for research purposes after approval by the patients or their legal representatives. The NH were all volunteers, they were contracted for clinical research with the LINUT network, and residents or their legal representatives had given their verbal informed consent for the assessments, noted on each residents’ file by the LINUT dieticians.",The study was approved by the Ethics Committee of the Regional Health Agency Network (LINUT) prior to data collection.,"the Ethics Committee of the Regional Health Agency Network, LINUT","ORG, ORG","26, 86","84, 91",ethics committee of ,1
42282,C:\Users\shweata\ethics_statement_corpus_1000\PMC8088586\sections\1_body\8_ethics_statement\1_p.xml,"All subjects provided informed consent for participation in to the study. The study was conducted in accordance with the Declaration of Helsinki, and the protocol was approved by the Ethics Committee of Calabria Region (Project identification code #2012.58.E; June 19, 2013).","The study was conducted in accordance with the Declaration of Helsinki, and the protocol was approved by the Ethics Committee of Calabria Region (Project identification code #2012.58.E; June 19, 2013).",the Ethics Committee of Calabria Region,ORG,105,144,ethics committee of ,1
42759,C:\Users\shweata\ethics_statement_corpus_1000\PMC8093378\sections\1_body\1_methods\1_ethics\1_p.xml,"This study protocol, involving human patient data, was reviewed and approved by the Ethics Committee of the Queen Fabiola Childrens University Hospital in Brussels (N° CEH 43/19).","This study protocol, involving human patient data, was reviewed and approved by the Ethics Committee of the Queen Fabiola Childrens University Hospital in Brussels (N° CEH 43/19).","the Ethics Committee of the Queen Fabiola Childrens University Hospital, Brussels, N, CEH 43/19","ORG, GPE, GPE, ORG","80, 156, 166, 169","152, 164, 167, 178",ethics committee of ,1
42783,C:\Users\shweata\ethics_statement_corpus_1000\PMC8093378\sections\1_body\6_ethics_statement\1_p.xml,"This study protocol, involving human patient data, was reviewed and approved by the Ethics Committee of the Queen Fabiola Childrens University Hospital in Brussels (N° CEH 43/19).","This study protocol, involving human patient data, was reviewed and approved by the Ethics Committee of the Queen Fabiola Childrens University Hospital in Brussels (N° CEH 43/19).","the Ethics Committee of the Queen Fabiola Childrens University Hospital, Brussels, N, CEH 43/19","ORG, GPE, GPE, ORG","80, 156, 166, 169","152, 164, 167, 178",ethics committee of ,1
43345,C:\Users\shweata\ethics_statement_corpus_1000\PMC8096108\sections\1_body\1_materials_and_methods\1_study_design\1_p.xml,"A prospective cohort study was conducted between January and December 2019 at the Movement Disorders Clinic, Thammasat University Hospital, Thailand. The study was designed as a single-arm, open-label trial to evaluate the therapeutic effects of HP eradication in PD patients with motor fluctuations. The estimated sample size was determined according to the previous studies  11– 14 with a level of significance of 5%, the statistical power of 80%, and the effect size of 0.8. The calculated number of HP infected patients needed in this study was 15 patients. Given the prevalence of HP infection in the general Thai population of 45% and the possibility of a 15% drop out rate, a total of 40 advanced PD patients were recruited. Consecutive PD patients were screened by a movement disorder specialist. Clinical assessment took place at baseline and 4 weeks after the 2-week HP eradication regimen period. Outcome assessors were blinded to the HP results. The primary outcomes were measurable changes in daily on-off time, L-dopa onset and peak time that result from successful HP eradication. The secondary outcomes were changes in clinical symptoms and the quality of life scores. All participants were verbally explained regarding the study before signing the consent form. Written informed consent was obtained from all subjects prior to enrolment. The study protocol was approved by the local ethics committee of Thammasat University (MTU-EC-IM-6-179/61) and registered with the Thai Clinical Trials Registry (TCTR 20190222005).",The study protocol was approved by the local ethics committee of Thammasat University (MTU-EC-IM-6-179/61) and registered with the Thai Clinical Trials Registry (TCTR 20190222005).,"Thammasat University, the Thai Clinical Trials Registry","ORG, ORG","65, 127","85, 160",ethics committee of ,1
43507,C:\Users\shweata\ethics_statement_corpus_1000\PMC8096170\sections\1_body\1_patients_and_methods\3_ethics\1_p.xml,"This study was approved by the ethics committee of the Heidelberg University (S-145/2017 and S-469/2017). Since this was a non-interventional, retrospective study, informed consent was obtained whenever possible, but its need for every participant was waived by the ethics committee.",This study was approved by the ethics committee of the Heidelberg University (S-145/2017 and S-469/2017).,the Heidelberg University,ORG,51,76,ethics committee of ,1
43532,C:\Users\shweata\ethics_statement_corpus_1000\PMC8096170\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by ethics committee of Heidelberg University (S-145/2017 and S-469/2017). Written informed consent for participation was not required for this study in accordance with the national legislation and the institutional rules.,The studies involving human participants were reviewed and approved by ethics committee of Heidelberg University (S-145/2017 and S-469/2017).,Heidelberg University,ORG,91,112,ethics committee of ,1
43597,C:\Users\shweata\ethics_statement_corpus_1000\PMC8096337\sections\1_body\1_materials_and_methods\1_ethics_statement\1_p.xml,Permission to collect and use blood samples of  A. actinomycetemcomitans-positive periodontitis patients and healthy control subjects was obtained from the Ethics Committee of the Hospital District of Southwest Finland. Written informed consent was obtained from  A. actinomycetemcomitans-positive adult periodontitis patients (21) and healthy controls (13) to collect venous blood samples.,Permission to collect and use blood samples of  A. actinomycetemcomitans-positive periodontitis patients and healthy control subjects was obtained from the Ethics Committee of the Hospital District of Southwest Finland.,the Ethics Committee of the Hospital District of Southwest Finland,ORG,152,218,ethics committee of ,1
43685,C:\Users\shweata\ethics_statement_corpus_1000\PMC8096996\sections\1_body\1_materials_and_methods\1_ethics_statement\1_p.xml,"This study was approved by the Research Ethics Committee of Zayed University, United Arab Emirates, and all participants provided written consent.","This study was approved by the Research Ethics Committee of Zayed University, United Arab Emirates, and all participants provided written consent.","the Research Ethics Committee of Zayed University, United Arab Emirates","ORG, GPE","27, 78","76, 98",ethics committee of ,1
43728,C:\Users\shweata\ethics_statement_corpus_1000\PMC8096996\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Research Ethics Committee of Zayed University. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,The studies involving human participants were reviewed and approved by Research Ethics Committee of Zayed University.,Research Ethics Committee of Zayed University,ORG,71,116,ethics committee of ,1
44139,C:\Users\shweata\ethics_statement_corpus_1000\PMC8100691\sections\1_body\1_methods\2_procedure\1_p.xml,"Ethics approval was provided through the Human Research Ethics Committee of the first authors university prior to data collection. Recruitment materials were distributed in print and online forms through universities, social media, social organizations working with young adults, and participants were also recruited through snowball sampling. The eligibility criteria were being aged 18–24 and currently residing in Australia (i.e., not in Australia as a tourist/visitor). The exclusion criterion was not completing the full survey (i.e., more than 5% missing data). Prior to having access to the survey, participants were informed of all the necessary information about their participation, the eligibility criteria, and online, phone, and face-to-face counseling support available as needed. In addition, they had access to the contact details of the first and second authors. The participants could access the questionnaires after indicating their consent to participate. The data were collected through online and print surveys (both in English) from April 2019 to October 2020.",Ethics approval was provided through the Human Research Ethics Committee of the first authors university prior to data collection.,the Human Research Ethics Committee,ORG,37,72,ethics committee of ,1
44223,C:\Users\shweata\ethics_statement_corpus_1000\PMC8100691\sections\1_body\5_ethics_statement\1_p.xml,This study was conducted in compliance with the ethical principles of the Australian National Statement on Ethical Conduct in Human Research. Ethics approval was provided through the Human Research Ethics Committee of Queensland University of Technology (Approval Number: 1800001166). The participants provided their written/online informed consent to participate in this study.,Ethics approval was provided through the Human Research Ethics Committee of Queensland University of Technology (Approval Number: 1800001166).,the Human Research Ethics Committee of Queensland University of Technology,ORG,37,111,ethics committee of ,1
44321,C:\Users\shweata\ethics_statement_corpus_1000\PMC8101692\sections\1_body\5_ethics_statement\1_p.xml,The study was approved by the National Ethics Committee of Angola (nr.25/2020). Participants or legal guardians of minors were informed of the study before being included in the study.,The study was approved by the National Ethics Committee of Angola (nr.25/2020).,the National Ethics Committee of Angola (nr.25/2020,ORG,26,77,ethics committee of ,1
44433,C:\Users\shweata\ethics_statement_corpus_1000\PMC8102736\sections\1_body\1_materials_and_methods\1_subjects\1_p.xml,"Eight internationally ranked long-distance swimmers (5 men and 3 women; ranked 6–16 at the 2012 10; or 25-km European Long-Distance Swimming Championship/ranked 6–11 at the London 2012 Olympics) participated in this study. All were members of the French Team, training for 21 days in Martinique (French West Indies; mean diurnal wet bulb globe temperature at the period, WBGT: 29.6 ± 0.6 °C; 79 ± 10% RH), and swimming twice a day (morning: 6:30 a.m.–9:00 a.m. and evening: 4:30 p.m.–7:30 p.m.) in an outdoor 50-m swimming pool (mean swimming-pool water temperature: 28.8 ± 1.2 °C). At the time of the study, the swimmers had trained for 8 days and 119 km (i.e., 11–15 km per day) in the tropical climate. The study was approved by the Ethics Committee of the Sport Medical Centre in Guadeloupe (Ministry of Youth and Sports) and the Ethics Committee of the Training and Research in Sport Science Unit in Guadeloupe (Ministry of Higher Education and Research). All gave informed written consent, and the protocol was approved by the ethics committee of Guadeloupe University and was conducted according to the Declaration of Helsinki. In addition, this study was performed in accordance with the ethical standards of the IJSM ( Harriss and Atkinson, 2014). Body mass, height and fat body mass are presented in  Table 1.",The study was approved by the Ethics Committee of the Sport Medical Centre in Guadeloupe (Ministry of Youth and Sports) and the Ethics Committee of the Training and Research in Sport Science Unit in Guadeloupe (Ministry of Higher Education and Research).,"the Ethics Committee of, the Sport Medical Centre, Guadeloupe (Ministry of Youth and Sports, the Ethics Committee of the Training and Research in Sport Science Unit, Guadeloupe (Ministry of Higher Education and Research","ORG, ORG, ORG, ORG, ORG","26, 50, 78, 124, 199","49, 74, 118, 195, 252",ethics committee of ,1
44434,C:\Users\shweata\ethics_statement_corpus_1000\PMC8102736\sections\1_body\1_materials_and_methods\1_subjects\1_p.xml,"Eight internationally ranked long-distance swimmers (5 men and 3 women; ranked 6–16 at the 2012 10; or 25-km European Long-Distance Swimming Championship/ranked 6–11 at the London 2012 Olympics) participated in this study. All were members of the French Team, training for 21 days in Martinique (French West Indies; mean diurnal wet bulb globe temperature at the period, WBGT: 29.6 ± 0.6 °C; 79 ± 10% RH), and swimming twice a day (morning: 6:30 a.m.–9:00 a.m. and evening: 4:30 p.m.–7:30 p.m.) in an outdoor 50-m swimming pool (mean swimming-pool water temperature: 28.8 ± 1.2 °C). At the time of the study, the swimmers had trained for 8 days and 119 km (i.e., 11–15 km per day) in the tropical climate. The study was approved by the Ethics Committee of the Sport Medical Centre in Guadeloupe (Ministry of Youth and Sports) and the Ethics Committee of the Training and Research in Sport Science Unit in Guadeloupe (Ministry of Higher Education and Research). All gave informed written consent, and the protocol was approved by the ethics committee of Guadeloupe University and was conducted according to the Declaration of Helsinki. In addition, this study was performed in accordance with the ethical standards of the IJSM ( Harriss and Atkinson, 2014). Body mass, height and fat body mass are presented in  Table 1.","All gave informed written consent, and the protocol was approved by the ethics committee of Guadeloupe University and was conducted according to the Declaration of Helsinki.",Guadeloupe University,ORG,92,113,ethics committee of ,1
44500,C:\Users\shweata\ethics_statement_corpus_1000\PMC8102736\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Training and Research in Sport Science Unit in Guadeloupe (Ministry of Higher Education and Research). The patients/participants provided their written informed consent to participate in this study.,The studies involving human participants were reviewed and approved by Ethics Committee of the Training and Research in Sport Science Unit in Guadeloupe (Ministry of Higher Education and Research).,"Ethics Committee, Guadeloupe (Ministry of Higher Education and Research","ORG, ORG","71, 142","87, 195",ethics committee of ,1
44553,C:\Users\shweata\ethics_statement_corpus_1000\PMC8107390\sections\1_body\1_methods\1_study_design_and_particip\1_p.xml,"This was a single center, observational cohort study. This study included the consecutive patients with esophageal cancer diagnosed from December 2014 to November 2019 at Daping Hospital, Army Medical University, China. The inclusion criteria were: adult patients (≥18 years old) who were treatment-naive and diagnosed with primary EC using imaging technology, cytology or histology; scheduled plan to receive radical esophagectomy; all data available in the medical records; written consent provided. The exclusion criteria were: patients who were confirmed to have another cancer type by postoperative pathology; metastatic EC; those who underwent preoperative chemoradiotherapy; refused to cooperate; whose surgery was canceled; and those with incomplete data required by the study. The study was approved by the Ethics Committee of Daping Hospital.",The study was approved by the Ethics Committee of Daping Hospital.,the Ethics Committee of Daping Hospital,ORG,26,65,ethics committee of ,1
44641,C:\Users\shweata\ethics_statement_corpus_1000\PMC8107390\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by The Ethics Committee of Daping Hospital. The patients/participants provided their written informed consent to participate in this study.,The studies involving human participants were reviewed and approved by The Ethics Committee of Daping Hospital.,The Ethics Committee of Daping Hospital,ORG,71,110,ethics committee of ,1
44761,C:\Users\shweata\ethics_statement_corpus_1000\PMC8107890\sections\1_body\2_materials_and_methods\1_subjects\1_p.xml,We recruited 89 people addicted to online games who were treated at Hangzhou Seventh People’s Hospital in 2019. Inclusion criteria were: (1) Conforming to the diagnosis of online game addiction in the Diagnostic and Statistical Manual of Mental Disorders- Fifth Edition; (2) Age ≥ 12 years; (3) Junior high school and above; and (4) Cooperative with the researchers to finish the evaluations on different psychological scales. Exclusion criteria were: (1) Combined with mental retardation; and (2) Uncooperative with the evaluation on the psychological scale for various reasons. Dropout criteria were: (1) Unable to complete the psychological intervention; or (2) Loss to follow-up. All participants were fully informed and gave signed informed consent before the study. The present study was approved by the Ethics Committee of Hangzhou Seventh People’s Hospital.,The present study was approved by the Ethics Committee of Hangzhou Seventh People’s Hospital.,"the Ethics Committee, People’s Hospital","ORG, ORG","34, 75","54, 92",ethics committee of ,1
44822,C:\Users\shweata\ethics_statement_corpus_1000\PMC8108040\sections\1_body\2_materials_and_methods\1_clinical_specimens\1_p.xml,"A total of 116 clinical PC tissues and corresponding normal tissues from surgical resection were collected at Shanghai General Hospital of Shanghai Jiao Tong University between April 2007 and July 2010. PC was diagnosed by pathological examinations. Patients were excluded if they received any treatments such as chemotherapy, radiotherapy, or molecular targeted therapy prior to surgery. All patients provided informed written consent prior to the use of these clinical materials for research purpose. This study was conducted in accordance with the ethical guidelines of the Declaration of Helsinki and approved by the Ethics Committee of Shanghai First Peoples Hospital (No. 2014-07DF), School of Medicine, Shanghai Jiaotong University (Shanghai, China). All human tissues were immediately frozen in liquid nitrogen until being used.",This study was conducted in accordance with the ethical guidelines of the Declaration of Helsinki and approved by the Ethics Committee of Shanghai First Peoples Hospital (No.,the Ethics Committee of Shanghai First Peoples Hospital,ORG,114,170,ethics committee of ,1
45024,C:\Users\shweata\ethics_statement_corpus_1000\PMC8109816\sections\1_body\1_materials_and_methods\5_ethics_statement\1_p.xml,"The study procedures were approved by the Ethical Committee of the University of São Paulo (protocol number: 3.270.762). Written consent was provided by each healthcare service involved prior to the intervention, as required by the local ethics committee. The study protocol was published in Registro Brasileiro de Ensaios Clínicos (U1111-1224-4363;  http://www.ensaiosclinicos.gov.br/rg/RBR-9xrv64/).",The study procedures were approved by the Ethical Committee of the University of São Paulo (protocol number: 3.270.762).,the Ethical Committee of the University of São Paulo,ORG,38,90,ethical committee of ,1
45220,C:\Users\shweata\ethics_statement_corpus_1000\PMC8112543\sections\1_body\7_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics committee of Bielefeld University. The patients/participants provided their written informed consent to participate in this study.,The studies involving human participants were reviewed and approved by Ethics committee of Bielefeld University.,"Ethics, Bielefeld University","ORG, ORG","71, 91","77, 111",ethics committee of ,1
