,file_path,paragraph,sentence,entities,labels,position_start,position_end,abbreviations,abbreviations_longform,abbreviation_start,abbreviation_end
292,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\5_three_amino_acids_of_tps8_like\2_fig.xml,"Figure 5Possible amino acid residues responsible for the product plasticity in Aquilegia TPS8. a Amino acid sequence alignment between AoTPS8 (from A. oxysepala 7#) and AjTPS8 (from A. japonica 7#). The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes. The numbers in each line indicate the positions of the last residue. b Volatile compounds detected in the control and transgenic Nicotiana benthamiana transiently overexpressing TPS8. AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves. The tobacco leaves were sampled and analyzed by GC–MS analysis. Tobacco leaves infiltrated with AtFPS2 alone were used as controls. c Enzymatic assays of AoTPS8, AjTPS8, and a series of mutant TPS8 proteins based on the AoTPS8 backbone. (E, E)-FPP was employed as the substrate in these assays. The enzymatic products are detailed in Table S5. d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins. Data represent the mean ± SD of two replicates calculated from relative peak areas. One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).","The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes.",amino acids,CHEMICAL,65,76,,,,
295,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\5_three_amino_acids_of_tps8_like\2_fig.xml,"Figure 5Possible amino acid residues responsible for the product plasticity in Aquilegia TPS8. a Amino acid sequence alignment between AoTPS8 (from A. oxysepala 7#) and AjTPS8 (from A. japonica 7#). The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes. The numbers in each line indicate the positions of the last residue. b Volatile compounds detected in the control and transgenic Nicotiana benthamiana transiently overexpressing TPS8. AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves. The tobacco leaves were sampled and analyzed by GC–MS analysis. Tobacco leaves infiltrated with AtFPS2 alone were used as controls. c Enzymatic assays of AoTPS8, AjTPS8, and a series of mutant TPS8 proteins based on the AoTPS8 backbone. (E, E)-FPP was employed as the substrate in these assays. The enzymatic products are detailed in Table S5. d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins. Data represent the mean ± SD of two replicates calculated from relative peak areas. One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).","AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves.","AtFPS2, farnesyl diphosphate, FPP","CHEMICAL, CHEMICAL, CHEMICAL","0, 43, 76","6, 63, 79",,,,
297,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\5_three_amino_acids_of_tps8_like\2_fig.xml,"Figure 5Possible amino acid residues responsible for the product plasticity in Aquilegia TPS8. a Amino acid sequence alignment between AoTPS8 (from A. oxysepala 7#) and AjTPS8 (from A. japonica 7#). The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes. The numbers in each line indicate the positions of the last residue. b Volatile compounds detected in the control and transgenic Nicotiana benthamiana transiently overexpressing TPS8. AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves. The tobacco leaves were sampled and analyzed by GC–MS analysis. Tobacco leaves infiltrated with AtFPS2 alone were used as controls. c Enzymatic assays of AoTPS8, AjTPS8, and a series of mutant TPS8 proteins based on the AoTPS8 backbone. (E, E)-FPP was employed as the substrate in these assays. The enzymatic products are detailed in Table S5. d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins. Data represent the mean ± SD of two replicates calculated from relative peak areas. One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).",Tobacco leaves infiltrated with AtFPS2 alone were used as controls.,AtFPS2,CHEMICAL,32,38,,,,
301,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\5_three_amino_acids_of_tps8_like\2_fig.xml,"Figure 5Possible amino acid residues responsible for the product plasticity in Aquilegia TPS8. a Amino acid sequence alignment between AoTPS8 (from A. oxysepala 7#) and AjTPS8 (from A. japonica 7#). The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes. The numbers in each line indicate the positions of the last residue. b Volatile compounds detected in the control and transgenic Nicotiana benthamiana transiently overexpressing TPS8. AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves. The tobacco leaves were sampled and analyzed by GC–MS analysis. Tobacco leaves infiltrated with AtFPS2 alone were used as controls. c Enzymatic assays of AoTPS8, AjTPS8, and a series of mutant TPS8 proteins based on the AoTPS8 backbone. (E, E)-FPP was employed as the substrate in these assays. The enzymatic products are detailed in Table S5. d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins. Data represent the mean ± SD of two replicates calculated from relative peak areas. One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).","d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins.","β-sesquiphellandrene, β-bisabolene","CHEMICAL, CHEMICAL","23, 48","43, 60",,,,
302,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\5_three_amino_acids_of_tps8_like\2_fig.xml,"Figure 5Possible amino acid residues responsible for the product plasticity in Aquilegia TPS8. a Amino acid sequence alignment between AoTPS8 (from A. oxysepala 7#) and AjTPS8 (from A. japonica 7#). The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes. The numbers in each line indicate the positions of the last residue. b Volatile compounds detected in the control and transgenic Nicotiana benthamiana transiently overexpressing TPS8. AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves. The tobacco leaves were sampled and analyzed by GC–MS analysis. Tobacco leaves infiltrated with AtFPS2 alone were used as controls. c Enzymatic assays of AoTPS8, AjTPS8, and a series of mutant TPS8 proteins based on the AoTPS8 backbone. (E, E)-FPP was employed as the substrate in these assays. The enzymatic products are detailed in Table S5. d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins. Data represent the mean ± SD of two replicates calculated from relative peak areas. One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).",Data represent the mean ± SD of two replicates calculated from relative peak areas.,±,CHEMICAL,24,25,,,,
303,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\5_three_amino_acids_of_tps8_like\2_fig.xml,"Figure 5Possible amino acid residues responsible for the product plasticity in Aquilegia TPS8. a Amino acid sequence alignment between AoTPS8 (from A. oxysepala 7#) and AjTPS8 (from A. japonica 7#). The conserved TPS motifs are indicated by lines, and polymorphic amino acids are marked with red boxes. The numbers in each line indicate the positions of the last residue. b Volatile compounds detected in the control and transgenic Nicotiana benthamiana transiently overexpressing TPS8. AtFPS2, which encodes Arabidopsis thaliana farnesyl diphosphate synthase in FPP synthesis, was coinfiltrated into tobacco leaves. The tobacco leaves were sampled and analyzed by GC–MS analysis. Tobacco leaves infiltrated with AtFPS2 alone were used as controls. c Enzymatic assays of AoTPS8, AjTPS8, and a series of mutant TPS8 proteins based on the AoTPS8 backbone. (E, E)-FPP was employed as the substrate in these assays. The enzymatic products are detailed in Table S5. d Relative contents of β-sesquiphellandrene and β-bisabolene catalyzed by AoTPS8, AjTPS8 and mutant TPS proteins. Data represent the mean ± SD of two replicates calculated from relative peak areas. One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).","One-way ANOVA was carried out to compare significant differences (Duncan, P < 0.05).",One-way,CHEMICAL,0,7,,,,
304,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.","Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain.","Figure 6Volatile terpene, A. oxysepala","CHEMICAL, DISEASE","0, 87","24, 99",,,,
305,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.",a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population.,"terpenes, A. oxysepala","CHEMICAL, DISEASE","11, 44","19, 56",,,,
307,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.",The detailed terpene contents are listed in Table S6.,terpene,CHEMICAL,13,20,,,,
308,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.","Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene.","volatiles, (1S)-(−)-β-pinene, 5, β-pinene, 6, myrcene, (+)-limonene, 8, 3-carene, (E)-β-ocimene, linalool, α-terpineol, (−)-α-copaene, α-bergamotene, α-curcumene, β-caryophyllene, zingiberene, β-bisabolene, α-caryophyllene, cubebene, α-muurolene","CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL, CHEMICAL","34, 70, 127, 140, 155, 169, 185, 204, 218, 270, 289, 399, 454, 475, 492, 536, 592, 606","43, 87, 138, 150, 167, 180, 198, 212, 229, 283, 302, 410, 469, 486, 504, 551, 600, 617",,,,
312,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.",c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain.,"amino acid, TPSs, Zuojia","CHEMICAL, CHEMICAL, CHEMICAL","6, 42, 85","16, 46, 91",,,,
313,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.","A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia.",A. oxysepala,DISEASE,0,12,,,,
314,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\1_results\6_correlation_analysis_between_v\2_fig.xml,"Figure 6Volatile terpene release, main TPS expression and key residue polymorphisms of A. oxysepala and A. japonica from Changbai Mountain. a Volatile terpenes emitted from flowers of A. oxysepala and A. japonica individuals from the Changbai Mountain population. Data represent the relative content calculated from peak areas and then log2 transformed. The detailed terpene contents are listed in Table S6. Here, 1 to 29 represent different volatiles: 1, (1R)-(+)-α-pinene; 2, (1S)-(−)-β-pinene; 3, α-phellandrene; 4, β-phellandrene; 5, β-pinene; 6, myrcene; 7, (+)-limonene; 8, 3-carene; 9, (E)-β-ocimene; 10, linalool; 11, α-terpineol; 12, an unidentified sesquiterpene; 13, (−)-α-copaene; 14, α-bergamotene; 15, an unidentified sesquiterpene; 16, (Z)-β-farnesene; 17, an unidentified sesquiterpene; 18, α-curcumene; 19, (E)-β-farnesene; 20, himachalene; 21, β-caryophyllene; 22, zingiberene; 23, β-bisabolene; 24, β-sesquiphellandrene; 25, α-caryophyllene; 26, an unidentified sesquiterpene; 27, cubebene; 28, α-muurolene; and 29, an unidentified sesquiterpene. b Relative expression levels of TPS7 and TPS8 in Aquilegia individuals from the Changbai Mountain population. Data represent changes relative to the lowest expression level of TPS in specific species. Data are the mean of three replicates and calculated as log2. c Key amino acid residue polymorphisms of TPSs among Aquilegia individuals from both Zuojia and Changbai Mountain. A. oxysepala 1#-7#, A. japonica 1#-7# and the hybrid are from Zuojia. A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain. The number in front of each line indicates the key residue position.",A. oxysepala 8#-12# and A. japonica 8#-12# are from Changbai Mountain.,"A. oxysepala 8#-12, A. japonica 8#-12","DISEASE, CHEMICAL","0, 24","18, 41",,,,
316,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.",Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia.,terpene,CHEMICAL,36,43,,,,
317,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.","The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population).",A. oxysepala,DISEASE,40,52,,,,
318,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.","The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene.","(+)-limonene, (+)-limonene","CHEMICAL, CHEMICAL","50, 196","62, 208",,,,
319,C:\Users\shweata\docanalysis\terpene_fig\PMC8771452\sections\2_body\2_discussion\5_fig.xml,"Figure 7Proposed model for volatile terpene biosynthesis in flowers of Aquilegia populations endemic to Northeastern Asia. The parent TPS7 was highly expressed in A. oxysepala (Zuojia and the Changbai mountain population), the hybrid and A. japonica (the Changbai mountain population). The active parent TPS7 generated a high amount of (+)-limonene, whereas the mTPS7 mutated protein was hardly expressed in A. japonica (the Zuojia population), although it produced a low amount of (+)-limonene. The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations. Moreover, the parent TPS8 yielded a high amount of β-sesquiphellandrenes, while the mutant mTPS8 produced more β-bisabolenes. The arrows represent high expression. The squares and circles under TPSs indicate A. oxysepala and A. japonica, respectively. The different background colors of the same shape indicate the same species from different populations. The hexagon indicates the natural hybrid from the Zuojia population. The three-dimensional models of the TPSs were created according to the crystal structure of 5-epi-aristolochene synthase (PDB ID: 5IL3) from tobacco61. The active cavity is illustrated in dotted circles. Polymorphic amino acids in or adjacent to the active cavity are marked. The different background colors of (+)-limonene, β-sesquiphellandrenes and β-bisabolenes represent different contents produced by the enzymes.",The parent TPS8 was highly expressed in A. japonica (the Zuojia population) when compared with the less expressed mTPS8 in the other populations.,TPS8,CHEMICAL,11,15,,,,
